"MessageTraceId","Detail"
"78cbd96b-53a5-4059-8dca-08dc6b7914c6","Reason: [{LED=250 2.1.5 RESOLVER.OOF.ExtToInt; handled external OOF addressed to internal recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"c013c442-892c-40a7-952d-08dc6b790f79","Reason: [{LED=550 5.2.1 Message sent for moderation by the transport rules agent};{MSG=};{FQDN=};{IP=};{LRT=}]"
"c013c442-892c-40a7-952d-08dc6b790f79","Reason: [{LED=550 5.2.1 Message sent for moderation by the transport rules agent};{MSG=};{FQDN=};{IP=};{LRT=}]"
"c013c442-892c-40a7-952d-08dc6b790f79","Reason: [{LED=550 5.2.1 Message sent for moderation by the transport rules agent};{MSG=};{FQDN=};{IP=};{LRT=}]"
"c013c442-892c-40a7-952d-08dc6b790f79","Reason: [{LED=550 5.2.1 Message sent for moderation by the transport rules agent};{MSG=};{FQDN=};{IP=};{LRT=}]"
"c013c442-892c-40a7-952d-08dc6b790f79","Reason: [{LED=550 5.2.1 Message sent for moderation by the transport rules agent};{MSG=};{FQDN=};{IP=};{LRT=}]"
"c013c442-892c-40a7-952d-08dc6b790f79","Reason: [{LED=550 5.2.1 Message sent for moderation by the transport rules agent};{MSG=};{FQDN=};{IP=};{LRT=}]"
"c013c442-892c-40a7-952d-08dc6b790f79","Reason: [{LED=550 5.2.1 Message sent for moderation by the transport rules agent};{MSG=};{FQDN=};{IP=};{LRT=}]"
"c013c442-892c-40a7-952d-08dc6b790f79","Reason: [{LED=550 5.2.1 Message sent for moderation by the transport rules agent};{MSG=};{FQDN=};{IP=};{LRT=}]"
"651bf166-561e-4727-4d0e-08dc6b790f0c","Reason: [{LED=554 5.4.187 RESOLVER.GRP.SuppressGroupExpansion; Suppress group expansion so messages are not sent to the group members.};{MSG=};{FQDN=};{IP=};{LRT=}]"
"a1cf961e-986b-49fc-7ff5-08dc6b790e87","Reason: [{LED=550 5.7.133 RESOLVER.RST.SenderNotAuthenticatedForGroup; authentication required; Delivery restriction check failed because the sender was not authenticated when sending to this group};{MSG=};{FQDN=};{IP=};{LRT=}]"
"9da0281e-428b-4ccc-f33c-08dc6b790a1b","Reason: [Stage: DeliverPreDelivery];StoreDriver.Rules; message is deleted by mailbox rules"
"9ccd739a-f749-466d-eeca-08dc6b7907d9","Reason: [{LED=550 5.7.133 RESOLVER.RST.SenderNotAuthenticatedForGroup; authentication required; Delivery restriction check failed because the sender was not authenticated when sending to this group};{MSG=};{FQDN=};{IP=};{LRT=}]"
"55ee6aa2-22da-41de-8d16-08dc6b790799","Reason: [Stage: DeliverPreDelivery];StoreDriver.Rules; message is deleted by mailbox rules"
"eb8300e4-e843-49e0-8c4f-08dc6b79044f","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"848af66f-503d-4fa6-2755-08dc6b78ffb5","Reason: [Stage: DeliverPreDelivery];StoreDriver.Rules; message is deleted by mailbox rules"
"9e9e4677-b77c-45ad-6ed2-08dc6b78fe4f","Reason: [Stage: DeliverPreDelivery];StoreDriver.Rules; message is deleted by mailbox rules"
"9586a7b6-07c7-46a7-b47b-08dc6b78ef2d","Reason: [{LED=550 5.7.133 RESOLVER.RST.SenderNotAuthenticatedForGroup; authentication required; Delivery restriction check failed because the sender was not authenticated when sending to this group};{MSG=};{FQDN=};{IP=};{LRT=}]"
"9f5b14f6-72eb-4a34-4dc3-08dc6b78e961","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"5dba3394-c241-4d4a-7cbf-08dc6b78e599","Reason: [Stage: DeliverPreDelivery];StoreDriver.Rules; message is deleted by mailbox rules"
"df5efead-b2e3-4132-d314-08dc6b78e2c2","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"63fc770a-2506-482d-b7e4-08dc6b78e143","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"9ed4c313-2a59-4e4e-9c56-08dc6b78def9","Reason: [{LED=550 5.7.133 RESOLVER.RST.SenderNotAuthenticatedForGroup; authentication required; Delivery restriction check failed because the sender was not authenticated when sending to this group};{MSG=};{FQDN=};{IP=};{LRT=}]"
"9a2f5fc6-6708-4a5a-73a6-08dc6b78d8a8","Reason: [{LED=550 5.7.133 RESOLVER.RST.SenderNotAuthenticatedForGroup; authentication required; Delivery restriction check failed because the sender was not authenticated when sending to this group};{MSG=};{FQDN=};{IP=};{LRT=}]"
"c63ac804-b359-4512-47e8-08dc6b78d647","Reason: [{LED=550 5.7.133 RESOLVER.RST.SenderNotAuthenticatedForGroup; authentication required; Delivery restriction check failed because the sender was not authenticated when sending to this group};{MSG=};{FQDN=};{IP=};{LRT=}]"
"3e8986f1-c2c8-47fb-5d4a-08dc6b78d595","Reason: [{LED=550 5.7.133 RESOLVER.RST.SenderNotAuthenticatedForGroup; authentication required; Delivery restriction check failed because the sender was not authenticated when sending to this group};{MSG=};{FQDN=};{IP=};{LRT=}]"
"c6aa7b05-0b97-4e68-0675-08dc6b78d218","Reason: [Stage: DeliverPreDelivery];StoreDriver.Rules; message is deleted by mailbox rules"
"31eded8d-b394-4b1a-b313-08dc6b78cdc2","Reason: [Stage: DeliverPreDelivery];StoreDriver.Rules; message is deleted by mailbox rules"
"9ed4e30c-7aa0-4218-97d2-08dc6b78ccf3","Reason: [Stage: DeliverPreDelivery];StoreDriver.Rules; message is deleted by mailbox rules"
"9d837ad9-ea29-4de4-9949-08dc6b78c648","Reason: [Stage: DeliverPreDelivery];StoreDriver.Rules; message is deleted by mailbox rules"
"3800dbef-89f0-4134-1320-08dc6b78bfae","Reason: [{LED=550 5.7.133 RESOLVER.RST.SenderNotAuthenticatedForGroup; authentication required; Delivery restriction check failed because the sender was not authenticated when sending to this group};{MSG=};{FQDN=};{IP=};{LRT=}]"
"9b4fa36a-9d6b-4214-fd6b-08dc6b78b4a0","Reason: [Stage: DeliverPreDelivery];StoreDriver.Rules; message is deleted by mailbox rules"
"d1fd10e6-841e-41f0-085d-08dc6b78b164","Reason: [Stage: DeliverPreDelivery];StoreDriver.Rules; message is deleted by mailbox rules"
"a92aed27-70da-42b3-8453-08dc6b78b0aa","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"9220ce4e-b88d-47a7-70ae-08dc6b78acf4","Reason: [{LED=250 2.1.5 RESOLVER.OOF.ExtToInt; handled external OOF addressed to internal recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"ebfc9198-3f37-42a6-ec54-08dc6b78ac1c","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"8ed5e3c8-115e-4e2a-3b08-08dc6b78abb1","Reason: [Stage: DeliverPreDelivery];StoreDriver.Rules; message is deleted by mailbox rules"
"87cfd6c0-7443-4c5c-57e2-08dc6b78aaa1","Reason: [{LED=250 2.1.5 RESOLVER.OOF.ExtToInt; handled external OOF addressed to internal recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"9c18e1e0-811a-4463-edb3-08dc6b78a9f0","Reason: [{LED=250 2.1.5 RESOLVER.OOF.ExtToInt; handled external OOF addressed to internal recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"8f105767-d6d8-4b91-55af-08dc6b78a2ea","Reason: [{LED=250 2.1.5 RESOLVER.OOF.ExtToInt; handled external OOF addressed to internal recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"3f42727b-81ac-4132-2794-08dc6b789cd4","Reason: [{LED=250 2.1.5 RESOLVER.OOF.ExtToInt; handled external OOF addressed to internal recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"e0bb34ee-3b71-408d-1bdd-08dc6b78981e","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"7902c466-e1b2-4563-aef5-08dc6b7895b4","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"24c81e32-0c0e-4db9-c1d8-08dc6b789439","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"18d4e173-6777-4396-81de-08dc6b7893fc","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"bea0eb8a-7ca4-40cc-3cdb-08dc6b7888ab","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"8a4fa724-18e4-4298-330f-08dc6b7883c7","Reason: [{LED=550 4.3.2 QUEUE.TransportAgent; message deleted by transport agent};{MSG=};{FQDN=};{IP=};{LRT=}]"
"83957086-6219-4ded-581f-08dc6b787e73","Reason: [{LED=550-5.1.1 The email account that you tried to reach does not exist. Please try 550-5.1.1 double-checking the recipient's email address for typos or 550-5.1.1 unnecessary spaces. For more information, go to 550 5.1.1  https://support.google.com/mail/?p=NoSuchUser q2-20020a056638238200b0048537e2f7fbsi273148jat.7 - . OutboundProxyTargetIP: 142.250.99.14. OutboundProxyTargetHostName: gmr-smtp-in.l.google.com"
"4f96ac61-7ca6-41b9-c9fc-08dc6b787d83","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"e46d251a-dd19-4f8b-e71d-08dc6b787c92","Reason: [{LED=550-5.1.1 The email account that you tried to reach does not exist. Please try 550-5.1.1 double-checking the recipient's email address for typos or 550-5.1.1 unnecessary spaces. For more information, go to 550 5.1.1  https://support.google.com/mail/?p=NoSuchUser ll12-20020a170903090c00b001ec41272fc8si3007077plb.2. OutboundProxyTargetIP: 2607:f8b0:400e:c09::1b. OutboundProxyTargetHostName: aspmx.l.google.com"
"155e6f45-f7d8-4771-a08f-08dc6b78792a","Reason: [{LED=550 5.7.133 RESOLVER.RST.SenderNotAuthenticatedForGroup; authentication required; Delivery restriction check failed because the sender was not authenticated when sending to this group};{MSG=};{FQDN=};{IP=};{LRT=}]"
"a36a81a4-ca62-4485-d6d8-08dc6b787683","Reason: [{LED=550 5.7.133 RESOLVER.RST.SenderNotAuthenticatedForGroup; authentication required; Delivery restriction check failed because the sender was not authenticated when sending to this group};{MSG=};{FQDN=};{IP=};{LRT=}]"
"64072750-689b-4972-4bce-08dc6b78766b","Reason: [{LED=250 2.1.5 RESOLVER.OOF.ExtToInt; handled external OOF addressed to internal recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"02298192-66c7-47c4-d3bd-08dc6b786ffb","Reason: [{LED=250 2.1.5 RESOLVER.OOF.ExtToInt; handled external OOF addressed to internal recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"489677fd-213f-417c-3b80-08dc6b786eb6","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"b11d71f5-fcad-4264-625d-08dc6b786e53","Reason: [{LED=500 5.7.0 invalid address};{MSG=};{FQDN=mx.public.govdelivery.com};{IP=66.117.61.27};{LRT=5/3/2024 1:53:39 PM}]. OutboundProxyTargetIP: 66.117.61.27. OutboundProxyTargetHostName: mx.public.govdelivery.com"
"2bc93226-d987-49e1-4e39-08dc6b786b03","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"165d1e8f-be62-41ff-e583-08dc6b786a64","Reason: [{LED=550 5.7.133 RESOLVER.RST.SenderNotAuthenticatedForGroup; authentication required; Delivery restriction check failed because the sender was not authenticated when sending to this group};{MSG=};{FQDN=};{IP=};{LRT=}]"
"4392c2d5-db25-4b96-8890-08dc6b7865b6","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"2d1cecf7-5f1b-4e78-8c05-08dc6b7862a0","Reason: [Stage: DeliverPreDelivery];StoreDriver.Rules; message is deleted by mailbox rules"
"5dd34d05-9d66-4d8d-657d-08dc6b7861ca","Reason: [{LED=550 5.7.133 RESOLVER.RST.SenderNotAuthenticatedForGroup; authentication required; Delivery restriction check failed because the sender was not authenticated when sending to this group};{MSG=};{FQDN=};{IP=};{LRT=}]"
